time,Reflect: Red,Reflect: IR
0.004557609558105469,45543,315698
0.009156227111816406,45540,315704
0.013816595077514648,45550,315715
0.018497705459594727,45554,315729
0.023284435272216797,45558,315732
0.028045177459716797,45563,315745
0.03276658058166504,45570,315747
0.03743100166320801,45569,315754
0.04203677177429199,45568,315746
0.04651665687561035,45542,315702
0.05101203918457031,45528,315649
0.05549907684326172,45530,315641
0.05995512008666992,45536,315643
0.06440043449401855,45541,315648
0.06887316703796387,45542,315658
0.07343578338623047,45551,315667
0.07812190055847168,45553,315677
0.08000349998474121,45551,315678
0.08189582824707031,45553,315677
0.08378863334655762,45553,315678
0.08574581146240234,45563,315694
0.08761286735534668,45567,315708
0.08944559097290039,45566,315721
0.09131622314453125,45575,315726
0.09314846992492676,45578,315730
0.09498143196105957,45584,315744
0.09696269035339355,45587,315750
0.0989079475402832,45587,315751
0.10089993476867676,45587,315757
0.10278630256652832,45591,315765
0.1045680046081543,45574,315763
0.10640192031860352,45589,315760
0.11094498634338379,45598,315760
0.15072369575500488,45569,315728
0.1907823085784912,45549,315663
0.2306370735168457,45552,315646
0.2705352306365967,45561,315656
0.31041407585144043,45567,315658
0.35028648376464844,45565,315659
0.39101076126098633,45569,315677
0.4308960437774658,45576,315683
0.4707779884338379,45575,315688
0.5106842517852783,45573,315681
0.5504944324493408,45572,315689
0.5903253555297852,45575,315694
0.630180835723877,45586,315706
0.6708793640136719,45590,315719
0.7107419967651367,45589,315725
0.7506206035614014,45592,315722
0.7926881313323975,45587,315730
0.8333344459533691,45600,315743
0.8738102912902832,45585,315738
0.9121518135070801,45606,315756
0.9525697231292725,45607,315756
0.9930679798126221,45617,315766
1.0335071086883545,45612,315767
1.0739192962646484,45607,315758
1.1122443675994873,45593,315730
1.1526596546173096,45555,315658
1.193099021911621,45564,315645
1.233548879623413,45565,315651
1.2739853858947754,45580,315675
1.3123157024383545,45583,315681
1.3529260158538818,45588,315695
1.3934104442596436,45589,315699
1.4338445663452148,45607,315725
1.4721629619598389,45597,315704
1.5126612186431885,45598,315704
1.5531189441680908,45600,315700
1.5935924053192139,45597,315711
1.6319057941436768,45596,315718
1.6723289489746094,45591,315724
1.712782859802246,45603,315744
1.7532474994659424,45602,315744
1.7916216850280762,45619,315765
