time,bpm,spo2,Trans: Wave,Reflect: Red,Reflect: IR
0.0051081180572509766,79,97,51,57862,57802
0.023167133331298828,79,97,48,336277,336257
0.040493011474609375,79,97,46,614968,614938
0.060563087463378906,79,97,44,893411,893382
0.08050799369812012,79,97,43,1171999,1171986
0.10158872604370117,79,97,42,1439363,1450523
0.12096786499023438,79,97,40,1439351,1726004
0.1399390697479248,79,97,39,1439395,1987812
0.16022944450378418,79,97,36,1439375,1987795
0.17988944053649902,79,97,33,1439396,1987778
0.20009946823120117,79,97,31,1439392,1987790
0.21987009048461914,79,97,28,1439416,1987802
0.23955965042114258,79,97,25,1439400,1987777
0.2600595951080322,79,97,23,1439389,1987782
0.27980566024780273,79,97,22,1439411,1987779
0.2994842529296875,79,97,21,1439411,1987759
0.32001829147338867,79,97,20,1439390,1987748
0.33975887298583984,79,97,20,1439415,1987773
0.35945677757263184,79,97,20,1439414,1987758
0.3799855709075928,79,97,20,1439404,1987759
0.39971137046813965,79,97,21,1439414,1987732
0.41939353942871094,79,97,21,1439382,1987691
0.43991613388061523,79,97,22,1439299,1987662
0.45967578887939453,79,97,22,1439275,1987619
0.4795503616333008,79,97,21,1439248,1987578
0.4993326663970947,79,97,20,1439287,1987533
0.5200018882751465,79,97,18,1439283,1987545
0.539766788482666,79,97,17,1439324,1987540
0.559762716293335,79,97,18,1439338,1987521
0.5795698165893555,79,97,21,1439322,1987528
0.5994770526885986,79,97,26,1439347,1987524
0.6201765537261963,79,97,33,1439349,1987562
0.6399540901184082,79,97,40,1439378,1987560
0.6598424911499023,79,97,47,1439358,1987543
0.679570198059082,79,97,51,1439350,1987561
0.6993899345397949,79,97,54,1439321,1987526
0.7200124263763428,79,97,53,1439337,1987501
0.739708423614502,79,97,51,1439327,1987493
0.7593531608581543,79,97,49,1439322,1987510
0.779752254486084,79,97,45,1439324,1987477
0.7995052337646484,79,97,41,1439351,1987477
0.8193044662475586,79,97,39,1439353,1987463
0.8412759304046631,79,97,37,1439365,1987492
0.8620967864990234,79,97,36,1439419,1987444
0.8812999725341797,79,97,36,1439414,1987497
0.9006497859954834,79,97,37,1439403,1987514
0.9216611385345459,79,97,38,1439345,1987476
0.9409160614013672,79,97,40,1439343,1987422
0.9618844985961914,79,97,41,1439351,1987381
0.9810981750488281,79,97,41,1439438,1987409
1.0018489360809326,79,97,42,1439408,1987364
1.0209310054779053,79,97,41,1439369,1987347
1.0418846607208252,79,97,40,1439400,1987366
1.0614385604858398,79,97,40,1439424,1987383
1.0808656215667725,79,97,39,1439348,1987325
1.1017985343933105,79,97,37,1439391,1987355
1.1211059093475342,79,97,36,1439408,1987321
1.1418750286102295,79,97,34,1439446,1987352
1.1613316535949707,79,97,33,1439343,1987409
1.1804966926574707,79,97,32,1439294,1987363
1.201648473739624,79,97,30,1439227,1987170
1.2208521366119385,79,97,29,1439235,1987139
1.241654872894287,79,97,29,1439237,1987142
1.2608642578125,79,97,29,1439276,1987174
1.2816975116729736,79,97,29,1439362,1987111
1.300889492034912,79,97,30,1439373,1987133
1.3218951225280762,79,97,31,1439365,1987181
1.3413071632385254,79,97,31,1439361,1987259
1.3606023788452148,79,97,31,1439325,1987152
1.3814411163330078,79,97,31,1439341,1987212
1.4005978107452393,79,97,31,1439308,1987214
1.4214890003204346,79,97,32,1439312,1987129
1.4407641887664795,79,97,36,1439330,1987112
1.4602952003479004,79,97,42,1439357,1987237
1.4816803932189941,79,97,50,1439313,1987084
1.5017356872558594,79,97,59,1439387,1987101
1.520956039428711,79,97,67,1439372,1987172
1.540269374847412,79,97,74,1439369,1987210
1.5614476203918457,79,97,77,1439364,1987217
1.5811653137207031,79,97,78,1439367,1987192
1.6005752086639404,79,97,77,1439332,1987047
1.6215226650238037,79,97,74,1439348,1987069
1.6407020092010498,79,97,70,1439425,1987100
1.6616997718811035,79,97,66,1439409,1987143
1.680840253829956,79,97,62,1439407,1987134
1.7000977993011475,79,97,59,1439417,1987176
1.7210943698883057,79,97,56,1439314,1987183
1.7402269840240479,79,97,55,1439349,1987174
1.7611455917358398,79,97,54,1439332,1987169
1.780285358428955,79,97,54,1439350,1987182
1.8010048866271973,79,97,55,1439333,1987199
1.8202753067016602,79,97,55,1439363,1987178
1.8412818908691406,79,97,55,1439373,1987132
1.8604259490966797,79,97,54,1439412,1987072
1.8812053203582764,79,97,52,1439375,1987085
1.9004020690917969,79,97,50,1439363,1987099
1.9212896823883057,79,97,47,1439379,1986996
1.9404585361480713,79,97,45,1439296,1986914
1.9616639614105225,79,97,43,1439316,1986928
1.9809069633483887,79,97,41,1439190,1987000
2.0000946521759033,79,97,40,1439204,1986985
2.020899534225464,79,97,40,1439266,1987011
2.040092945098877,79,97,39,1439296,1986991
2.0610005855560303,79,97,38,1439300,1986985
2.080557346343994,79,97,37,1439414,1986905
2.100053310394287,79,97,36,1439316,1987010
2.1213271617889404,79,97,35,1439329,1987011
2.1406781673431396,79,97,33,1439400,1987011
2.160006046295166,79,97,31,1439314,1987011
2.183223247528076,79,97,30,1439324,1986880
2.2011570930480957,79,97,29,1439362,1986918
2.2207274436950684,79,97,28,1439291,1986962
2.2397959232330322,79,97,28,1439289,1986975
2.260720729827881,79,97,29,1439274,1986954
2.2799394130706787,79,97,33,1439292,1986940
2.300705671310425,79,97,40,1439315,1986937
2.3198485374450684,79,97,47,1439312,1986955
2.3408005237579346,79,97,56,1439312,1986950
2.359984874725342,79,97,64,1439351,1986870
2.3808701038360596,79,97,70,1439336,1986848
2.4000356197357178,79,97,74,1439356,1986849
2.4208474159240723,79,97,74,1439355,1986820
2.439899444580078,79,97,72,1439352,1986876
2.4608068466186523,79,98,68,1439372,1986913
2.480069398880005,79,98,64,1439395,1986838
2.5009491443634033,79,98,59,1439373,1986848
2.5200393199920654,79,98,54,1439390,1986850
2.5408847332000732,79,98,50,1439393,1986847
2.560138702392578,79,98,47,1439406,1986767
2.5812668800354004,79,98,45,1439462,1986905
2.6008472442626953,79,98,44,1439379,1986785
2.6201212406158447,79,98,45,1439423,1986774
2.6409802436828613,79,98,46,1439415,1986791
2.6609039306640625,79,98,47,1439319,1986708
2.6800382137298584,79,98,47,1439272,1986657
2.701023817062378,79,98,47,1439278,1986647
2.72029709815979,79,98,46,1439294,1986734
2.7393882274627686,79,98,45,1439331,1986707
2.760282039642334,79,98,43,1439333,1986724
2.7795445919036865,79,98,41,1439304,1986713
2.8003015518188477,79,98,39,1439333,1986732
2.819425582885742,79,98,37,1439376,1986747
2.8403573036193848,79,98,35,1439411,1986769
2.859646797180176,79,98,33,1439361,1986739
2.880427837371826,79,98,31,1439300,1986739
2.899595022201538,79,98,30,1439289,1986757
2.9205703735351562,79,98,29,1439300,1986622
2.939805030822754,79,98,28,1439297,1986588
2.9595212936401367,79,98,27,1439252,1986698
2.9804885387420654,79,98,27,1439296,1986629
2.99973464012146,79,98,26,1439303,1986643
3.0206453800201416,79,98,25,1439367,1986588
3.039858102798462,79,98,24,1439409,1986608
3.060771942138672,79,98,24,1439373,1986596
3.080115795135498,79,98,23,1439356,1986712
3.1008663177490234,79,98,24,1439389,1986623
3.120231866836548,79,98,27,1439374,1986708
3.139523506164551,79,98,32,1439332,1986689
3.159552574157715,79,98,40,1439335,1986671
3.1791632175445557,79,98,48,1439394,1986671
3.1986732482910156,79,98,57,1439395,1986550
3.2195398807525635,79,98,65,1439317,1986686
3.2389514446258545,79,98,71,1439374,1986701
3.2606711387634277,79,98,74,1439438,1986630
3.279911994934082,79,98,75,1439456,1986659
3.3006274700164795,79,98,73,1439441,1986616
3.3196845054626465,80,98,70,1439452,1986608
3.340592622756958,80,98,67,1439395,1986583
3.3599469661712646,80,98,63,1439341,1986663
3.379088878631592,80,98,59,1439337,1986589
3.3999834060668945,80,98,56,1439247,1986503
3.4192261695861816,80,98,53,1439167,1986457
3.440044641494751,80,98,51,1439160,1986444
3.459235429763794,80,98,50,1439217,1986466
3.4801738262176514,80,98,49,1439257,1986424
3.499429941177368,80,98,49,1439284,1986449
3.5205233097076416,80,98,49,1439368,1986365
3.539715051651001,80,98,49,1439369,1986416
3.5607333183288574,80,98,48,1439381,1986439
3.58003306388855,80,98,46,1439317,1986471
3.5994348526000977,80,98,44,1439308,1986456
3.619826078414917,80,98,42,1439380,1986418
3.6399176120758057,80,98,40,1439360,1986501
3.659392833709717,80,98,38,1439296,1986356
3.6806461811065674,80,98,36,1439353,1986423
3.6999523639678955,80,98,34,1439264,1986431
3.7200005054473877,80,98,33,1439310,1986440
3.739504337310791,80,98,32,1439366,1986353
3.757841110229492,80,98,31,1439345,1986382
3.7776083946228027,80,98,30,1439338,1986406
3.798110008239746,80,98,29,1439361,1986422
3.8177952766418457,80,98,28,1439362,1986408
3.837568759918213,80,98,28,1439345,1986391
3.8581111431121826,80,98,27,1439357,1986384
3.877797842025757,80,98,26,1439368,1986403
3.897491931915283,80,98,25,1439332,1986413
3.917271375656128,80,98,24,1439364,1986392
3.937826633453369,80,98,23,1439352,1986397
3.9577836990356445,80,98,23,1439373,1986400
3.977522373199463,80,98,25,1439350,1986419
3.997244358062744,80,98,30,1439368,1986380
4.017336845397949,80,98,37,1439377,1986407
4.037405252456665,80,98,44,1439359,1986427
4.057991027832031,80,98,53,1439395,1986440
4.0776660442352295,80,98,62,1439412,1986404
4.097360610961914,80,98,68,1439387,1986414
4.117241859436035,80,98,72,1439340,1986358
4.137909173965454,80,98,72,1439270,1986314
4.157773017883301,80,98,71,1439217,1986233
4.177531719207764,80,98,68,1439213,1986212
4.197366237640381,80,98,65,1439242,1986202
4.217205762863159,80,98,61,1439278,1986192
4.237748622894287,80,98,57,1439289,1986183
4.257551908493042,80,98,53,1439288,1986172
4.277404308319092,80,98,50,1439290,1986210
4.297067165374756,80,98,48,1439315,1986196
4.3177244663238525,80,98,47,1439328,1986228
4.337544679641724,80,98,47,1439355,1986229
4.357274055480957,80,98,47,1439334,1986227
4.3771140575408936,80,98,47,1439318,1986222
4.397834300994873,80,98,47,1439313,1986244
4.417503833770752,80,98,46,1439301,1986201
4.437267303466797,80,98,45,1439301,1986195
4.459485292434692,80,98,43,1439352,1986221
4.478650093078613,80,98,41,1439230,1986237
4.499656438827515,80,98,40,1439293,1986167
4.51876163482666,80,98,38,1439307,1986208
4.539792537689209,80,98,36,1439334,1986120
4.559227466583252,80,98,35,1439386,1986156
4.57845139503479,80,98,34,1439327,1986274
4.599441766738892,80,98,33,1439261,1986245
4.619102716445923,80,98,32,1439343,1986127
4.638498783111572,80,98,32,1439292,1986258
4.658222675323486,80,98,31,1439324,1986224
4.677642583847046,80,98,30,1439380,1986232
4.698483467102051,80,98,29,1439381,1986131
4.718073606491089,80,98,29,1439299,1986236
4.73871922492981,80,98,28,1439322,1986216
4.759885787963867,80,98,27,1439361,1986186
4.779259443283081,80,98,26,1439388,1986230
4.798299074172974,80,98,25,1439339,1986265
4.81923246383667,80,98,25,1439312,1986246
4.83861780166626,80,98,26,1439292,1986227
4.859638214111328,80,98,28,1439385,1986136
4.878907680511475,80,98,34,1439393,1986118
4.899899244308472,80,98,40,1439333,1986108
4.919103145599365,80,98,49,1439226,1986114
4.938401699066162,80,98,57,1439165,1986049
4.959276914596558,80,98,64,1439119,1986025
4.978560447692871,80,98,69,1439182,1985948
4.999711036682129,80,98,71,1439208,1985902
5.018761873245239,80,98,70,1439282,1985928
5.03965425491333,80,98,67,1439303,1985936
5.059004783630371,81,98,64,1439293,1985960
5.0782976150512695,81,98,59,1439220,1986021
5.099269866943359,81,98,55,1439268,1986053
