time,bpm,spo2,Trans: Wave,Reflect: Red,Reflect: IR
0.005113363265991211,79,98,35,57790,57793
0.023236751556396484,79,98,32,336329,336346
0.043398141860961914,79,98,31,614713,614948
0.06397056579589844,79,98,29,893418,893438
0.0802299976348877,79,98,28,1172015,1171915
0.09976387023925781,79,98,26,1450436,1450298
0.12011051177978516,79,98,25,1712923,1723531
0.1401824951171875,79,98,24,1712898,1985346
0.1602649688720703,79,98,24,1712905,1985355
0.1801135540008545,79,98,23,1712919,1985380
0.19985246658325195,79,98,22,1712920,1985385
0.21957802772521973,79,98,22,1712962,1985426
0.24007964134216309,79,98,22,1712988,1985494
0.25990939140319824,79,98,21,1713008,1985536
0.27963948249816895,79,98,21,1712998,1985504
0.3001749515533447,79,98,23,1712993,1985474
0.3198277950286865,79,98,26,1712966,1985393
0.3395051956176758,79,98,32,1712963,1985375
0.360093355178833,79,98,39,1712948,1985381
0.37980127334594727,79,98,46,1712953,1985366
0.39946722984313965,79,98,55,1712937,1985358
0.41995859146118164,79,98,62,1712927,1985349
0.4396805763244629,79,98,67,1712933,1985348
0.45933055877685547,79,98,69,1712939,1985314
0.4799234867095947,79,98,70,1712913,1985319
0.49971818923950195,79,98,69,1712945,1985375
0.5195415019989014,79,98,67,1712948,1985352
0.5401315689086914,79,98,64,1712962,1985352
0.5599195957183838,79,98,61,1712960,1985355
0.5793814659118652,79,98,58,1712991,1985387
0.5993955135345459,79,98,55,1712989,1985398
0.6201765537261963,79,98,53,1713006,1985400
0.6400101184844971,79,98,51,1712993,1985374
0.659834623336792,79,98,50,1712955,1985342
0.6795997619628906,79,98,50,1712989,1985347
0.6994311809539795,79,98,50,1712997,1985371
0.7192072868347168,79,98,50,1713021,1985369
0.739800214767456,79,98,49,1713010,1985405
0.7596032619476318,79,98,48,1713013,1985365
0.7818975448608398,79,98,46,1712994,1985364
0.8014297485351562,79,98,45,1713066,1985421
0.8207697868347168,79,98,43,1712975,1985466
0.8418314456939697,79,98,41,1712974,1985410
0.8610382080078125,79,98,40,1713012,1985298
0.8820457458496094,79,98,38,1713061,1985334
0.9013988971710205,79,98,36,1713066,1985322
0.9206967353820801,79,98,34,1712954,1985385
0.9415926933288574,79,98,33,1712967,1985392
0.9608132839202881,79,98,31,1712951,1985445
0.9818544387817383,79,98,29,1713081,1985388
1.0011298656463623,79,98,28,1713157,1985457
1.021982192993164,79,98,27,1713133,1985441
1.0411648750305176,79,98,26,1713120,1985401
1.0620856285095215,79,98,26,1713093,1985348
1.0815589427947998,79,98,25,1712977,1985414
1.1009819507598877,79,98,25,1713037,1985328
1.1219110488891602,79,98,25,1713039,1985297
1.1414575576782227,79,98,26,1712975,1985375
1.1606707572937012,79,98,26,1712988,1985355
1.1816060543060303,79,98,29,1712989,1985328
1.2008178234100342,79,98,33,1713016,1985229
1.2217175960540771,79,98,40,1713014,1985260
1.2407913208007812,79,98,47,1713026,1985262
1.2616949081420898,79,98,55,1713002,1985272
1.280945062637329,79,98,63,1713090,1985247
1.3017206192016602,79,98,70,1713070,1985231
1.3210117816925049,79,98,74,1713057,1985212
1.3404247760772705,79,98,76,1713011,1985281
1.3613030910491943,79,98,75,1712935,1985279
1.3804798126220703,79,98,73,1712928,1985266
1.4014489650726318,80,98,70,1712945,1985266
1.420734167098999,80,98,66,1713013,1985174
1.44146728515625,80,98,61,1712980,1985118
1.4605424404144287,80,98,57,1712965,1985215
